2025-12-22 15:34:00.935 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[系統] 已存入 300 筆歷史數據
2025-12-22 15:35:00.991 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[系統] 已存入 300 筆歷史數據
2025-12-22 15:36:01.044 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[系統] 已存入 300 筆歷史數據
2025-12-22 15:43:01.059 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[系統] 已存入 400 筆歷史數據
2025-12-22 16:16:00.346 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[系統] 已存入 400 筆歷史數據
2025-12-22 16:38:00.898 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[系統] 已存入 400 筆歷史數據
2025-12-22 16:39:00.731 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[系統] 已存入 400 筆歷史數據
2025-12-22 16:43:00.458 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[系統] 已存入 400 筆歷史數據
2025-12-22 16:43:23.873 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 AO 寫入指令加入隊列，目標值: 59.16
2025-12-22 16:43:23.878 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 1 寫入指令加入隊列，目標值: 56.07
2025-12-22 16:43:23.880 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 2 寫入指令加入隊列，目標值: 28.01
2025-12-22 16:43:23.882 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 0 寫入指令加入隊列，目標值: 82.06
2025-12-22 16:43:23.884 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 0 寫入指令加入隊列，目標值: 11.66
2025-12-22 16:43:23.886 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 0 寫入指令加入隊列，目標值: 54.41
2025-12-22 16:43:23.888 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 0 寫入指令加入隊列，目標值: 36.82
2025-12-22 16:43:23.890 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 0 寫入指令加入隊列，目標值: 59.64
2025-12-22 16:43:23.893 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 0 寫入指令加入隊列，目標值: 22.05
2025-12-22 16:43:23.895 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 0 寫入指令加入隊列，目標值: 26.92
2025-12-22 16:43:23.898 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 2 寫入指令加入隊列，目標值: 84.12
2025-12-22 16:43:23.900 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 0 寫入指令加入隊列，目標值: 64.19
2025-12-22 16:43:23.902 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 0 寫入指令加入隊列，目標值: 50.56
2025-12-22 16:43:23.904 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 0 寫入指令加入隊列，目標值: 73.99
2025-12-22 16:43:23.906 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 0 寫入指令加入隊列，目標值: 46.16
2025-12-22 16:43:23.908 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 ?? 寫入指令加入隊列，目標值: 86.72
2025-12-22 16:43:23.909 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 ?? 寫入指令加入隊列，目標值: 17.33
2025-12-22 16:43:23.911 | LV=Info | SRC=C# | CO= | DEV= | PT= | MSG=[測試] 已將 ?? 寫入指令加入隊列，目標值: 59.85
